,Close,Date,High,Low,Open
736646.0,3.092e-05,736646.0,3.363e-05,2.963e-05,3.277e-05
736647.0,3.123e-05,736647.0,3.207e-05,3.041e-05,3.097e-05
736648.0,2.884e-05,736648.0,3.131e-05,2.801e-05,3.123e-05
736649.0,2.896e-05,736649.0,4e-05,2.74e-05,2.873e-05
736650.0,2.905e-05,736650.0,3.17e-05,2.72e-05,2.896e-05
736651.0,2.928e-05,736651.0,2.973e-05,2.854e-05,2.906e-05
736652.0,2.895e-05,736652.0,3.062e-05,2.825e-05,2.926e-05
736653.0,2.929e-05,736653.0,3.04e-05,2.87e-05,2.895e-05
736654.0,2.867e-05,736654.0,2.991e-05,2.821e-05,2.915e-05
736655.0,2.902e-05,736655.0,2.967e-05,2.81e-05,2.867e-05
736656.0,2.983e-05,736656.0,3.065e-05,2.855e-05,2.901e-05
736657.0,2.928e-05,736657.0,3.01e-05,2.736e-05,2.985e-05
736658.0,2.826e-05,736658.0,3e-05,2.825e-05,2.928e-05
736659.0,2.629e-05,736659.0,2.833e-05,2.575e-05,2.826e-05
736660.0,2.547e-05,736660.0,2.653e-05,2.526e-05,2.629e-05
736661.0,2.83e-05,736661.0,2.87e-05,2.513e-05,2.536e-05
736662.0,2.42e-05,736662.0,2.839e-05,2.371e-05,2.838e-05
736663.0,2.364e-05,736663.0,2.492e-05,2.3e-05,2.414e-05
736664.0,2.291e-05,736664.0,2.416e-05,2.28e-05,2.364e-05
736665.0,2.243e-05,736665.0,2.297e-05,2.215e-05,2.294e-05
736666.0,2.191e-05,736666.0,2.249e-05,2.136e-05,2.243e-05
736667.0,2.137e-05,736667.0,2.197e-05,2.118e-05,2.193e-05
736668.0,1.997e-05,736668.0,2.138e-05,1.981e-05,2.13e-05
736669.0,1.574e-05,736669.0,2.004e-05,1.503e-05,1.997e-05
736670.0,1.219e-05,736670.0,1.597e-05,1.204e-05,1.574e-05
736671.0,1.47e-05,736671.0,1.755e-05,1.18e-05,1.212e-05
736672.0,1.6e-05,736672.0,1.779e-05,1.441e-05,1.47e-05
736673.0,1.527e-05,736673.0,1.777e-05,1.466e-05,1.6e-05
736674.0,1.481e-05,736674.0,1.537e-05,1.401e-05,1.527e-05
736675.0,2.313e-05,736675.0,2.8e-05,1.451e-05,1.488e-05
736676.0,2.838e-05,736676.0,3.157e-05,2.078e-05,2.313e-05
736677.0,5.068e-05,736677.0,5.358e-05,2.769e-05,2.835e-05
736678.0,4.208e-05,736678.0,5.07e-05,3.503e-05,5.068e-05
736679.0,3.846e-05,736679.0,4.611e-05,3.696e-05,4.205e-05
736680.0,3.737e-05,736680.0,4.002e-05,3.55e-05,3.846e-05
736681.0,3.988e-05,736681.0,4.399e-05,3.651e-05,3.736e-05
736682.0,4.229e-05,736682.0,4.49e-05,3.918e-05,3.988e-05
736683.0,4.376e-05,736683.0,4.45e-05,4.047e-05,4.233e-05
736684.0,7.284e-05,736684.0,7.444e-05,4.365e-05,4.376e-05
736685.0,7.565e-05,736685.0,8.61e-05,6e-05,7.28e-05
736686.0,7.136e-05,736686.0,7.725e-05,6.85e-05,7.565e-05
736687.0,7.13e-05,736687.0,7.588e-05,6.8e-05,7.135e-05
736688.0,7.148e-05,736688.0,7.26e-05,6.998e-05,7.13e-05
736689.0,6.844e-05,736689.0,7.159e-05,6.1e-05,7.15e-05
736690.0,7.835e-05,736690.0,8.456e-05,6.722e-05,6.844e-05
736691.0,8.755e-05,736691.0,9.434e-05,7.698e-05,7.835e-05
736692.0,0.00013436,736692.0,0.0001385,8.704e-05,8.75e-05
736693.0,0.00014801,736693.0,0.00019658,0.00013139,0.00013401
736694.0,0.00014288,736694.0,0.00015885,0.000122,0.00014801
736695.0,0.0001524,736695.0,0.00015755,0.00013881,0.00014252
736696.0,0.00014885,736696.0,0.00015834,0.00012935,0.0001524
736697.0,0.00017976,736697.0,0.00019547,0.00014424,0.00014885
736698.0,0.000181,736698.0,0.00022899,0.00016276,0.00017974
736699.0,0.00014763,736699.0,0.0002042,0.000135,0.00018095
736700.0,0.00015375,736700.0,0.000175,0.000144,0.00014717
736701.0,0.0001699,736701.0,0.00017891,0.00015321,0.00015354
736702.0,0.00015952,736702.0,0.0001707,0.0001412,0.00016992
736703.0,0.00014226,736703.0,0.000163,0.0001341,0.00015952
736704.0,0.00013094,736704.0,0.00014912,0.0001198,0.00014225
736705.0,0.0001456,736705.0,0.00016408,0.00011876,0.00013134
736706.0,0.0001468,736706.0,0.00015857,0.00014001,0.0001456
736707.0,0.00013936,736707.0,0.00014845,0.000135,0.00014686
736708.0,0.0001339,736708.0,0.00014,0.00013215,0.00013999
736709.0,0.00012175,736709.0,0.00013733,0.0001201,0.0001339
736710.0,0.000103,736710.0,0.0001285,8.55e-05,0.00012175
736711.0,0.000117,736711.0,0.00012457,9.42e-05,0.000103
736712.0,0.00013993,736712.0,0.00014534,0.000113,0.000117
736713.0,0.00013323,736713.0,0.000147,0.00013148,0.00014018
736714.0,0.00012265,736714.0,0.000134,0.00011901,0.00013391
736715.0,0.00011838,736715.0,0.00012337,0.00011358,0.00012265
736716.0,0.000124,736716.0,0.00012565,0.00011133,0.00011838
736717.0,0.00012309,736717.0,0.00012794,0.00011786,0.000124
736718.0,0.00011873,736718.0,0.00012513,0.000118,0.00012342
736719.0,0.00011615,736719.0,0.00011999,0.000116,0.00011873
736720.0,0.00010879,736720.0,0.0001162,0.0001068,0.00011615
736721.0,0.00010607,736721.0,0.00010993,0.00010566,0.00010879
736722.0,0.0001156,736722.0,0.00011822,0.0001052,0.00010607
736723.0,0.00011275,736723.0,0.000116,0.000112,0.00011555
736724.0,0.0001095,736724.0,0.00011433,0.00010838,0.00011302
736725.0,0.00011109,736725.0,0.00011271,0.0001052,0.00010949
736726.0,0.00010422,736726.0,0.00011118,0.00010229,0.00011111
736727.0,0.00010081,736727.0,0.00010735,8.43e-05,0.00010422
736728.0,0.00010332,736728.0,0.00010786,9.456e-05,0.00010129
736729.0,9.95e-05,736729.0,0.00010447,9.85e-05,0.00010391
736730.0,9.841e-05,736730.0,0.0001025,9.54e-05,9.95e-05
736731.0,9.857e-05,736731.0,0.00010091,9.549e-05,9.841e-05
736732.0,9.424e-05,736732.0,9.92e-05,9.303e-05,9.87e-05
736733.0,9.475e-05,736733.0,9.599e-05,8.84e-05,9.424e-05
736734.0,0.00010605,736734.0,0.0001085,9.336e-05,9.486e-05
736735.0,0.00011975,736735.0,0.0001374,0.00010431,0.00010605
736736.0,0.00011893,736736.0,0.00012478,0.000112,0.00011975
736737.0,0.000117,736737.0,0.00012252,0.000115,0.0001191
736738.0,0.00011579,736738.0,0.0001179,0.00011444,0.00011731
736739.0,0.000119,736739.0,0.0001246,0.00011175,0.00011579
736740.0,0.00011011,736740.0,0.00011945,0.00010899,0.000119
736741.0,0.0001094,736741.0,0.00011144,0.00010701,0.00011011
736742.0,0.00010657,736742.0,0.0001111,0.000103,0.0001094
736743.0,0.0001024,736743.0,0.00010655,0.00010184,0.0001062
736744.0,9.92e-05,736744.0,0.00010432,9.903e-05,0.00010266
736745.0,9.148e-05,736745.0,9.92e-05,8.89e-05,9.92e-05
736746.0,9.07e-05,736746.0,9.378e-05,8.949e-05,9.148e-05
736747.0,9.05e-05,736747.0,9.205e-05,8.82e-05,9.08e-05
736748.0,9.301e-05,736748.0,9.535e-05,8.89e-05,9.05e-05
736749.0,9.277e-05,736749.0,9.341e-05,9e-05,9.297e-05
736750.0,9.44e-05,736750.0,9.499e-05,9.244e-05,9.277e-05
736751.0,9.033e-05,736751.0,9.475e-05,8.9e-05,9.45e-05
736752.0,8.727e-05,736752.0,9.07e-05,8.7e-05,9.033e-05
736753.0,8.536e-05,736753.0,8.8e-05,8.43e-05,8.748e-05
736754.0,8.35e-05,736754.0,8.92e-05,8.287e-05,8.536e-05
736755.0,8.175e-05,736755.0,8.377e-05,8.105e-05,8.35e-05
